Store Number,Store Type,Region,Year,Display Name,Address,City,State,Zip Code,Country,Latitude,Longitude
787,1,Atlanta,1985,Walmart Supercenter,7050 Highway 85,Riverdale,GA,30274,US,33.56365499,-84.411079
855,1,Atlanta,1986,Walmart Supercenter,4735 Jonesboro Rd,Union City,GA,30291,US,33.57258199,-84.54187
1047,1,Atlanta,1987,Walmart Supercenter,6065 Jonesboro Rd,Morrow,GA,30260,US,33.589348,-84.33972199
1181,1,Atlanta,1988,Walmart Supercenter,1785 Cobb Pkwy S,Marietta,GA,30060,US,33.90838041,-84.49238821
1340,1,Atlanta,2004,Walmart Supercenter,5401 Fairington Rd,Lithonia,GA,30038,US,33.70183154,-84.16934631
1586,1,Atlanta,1990,Walmart Supercenter,1133 Ew Connector Sw,Austell,GA,30106,US,33.85713346,-84.58799622
2360,1,Atlanta,1995,Walmart Supercenter,4725 Ashford Dunwoody Rd,Dunwoody,GA,30338,US,33.93258869,-84.33744572
2584,1,Atlanta,1998,Walmart Supercenter,4375 Lawrenceville Hwy,Tucker,GA,30084,US,33.85625799,-84.205132
2941,1,Atlanta,2002,Walmart Supercenter,5200 Windward Pkwy,Alpharetta,GA,30004,US,34.09221097,-84.27673995
3008,2,Atlanta,2013,Walmart,835 Martin Luther King Jr Driv,Atlanta,GA,30314,US,33.755374,-84.414489
3067,2,Atlanta,2013,Walmart,4975 Jimmy Carter Blvd,Norcross,GA,30093,US,33.89488421,-84.19671557
3071,4,Atlanta,2013,Walmart Neighborhood Market,3201 Tucker Norcross Rd,Tucker,GA,30084,US,33.88356799,-84.21881899
3074,4,Atlanta,2012,Walmart Neighborhood Market,3059 Lawrenceville Hwy,Lawrenceville,GA,30044,US,33.92061196,-84.08629976
3186,4,Atlanta,2012,Walmart Neighborhood Market,217,Alpharetta,GA,30009,US,34.068333,-84.29496
3188,2,Atlanta,2013,Walmart,5935 Memorial Dr,Stone Mountain,GA,30083,US,33.80088619,-84.19547975
3205,1,Atlanta,2001,Walmart Supercenter,1100 Thornton Rd,Lithia Springs,GA,30122,US,33.77439117,-84.60195159
3401,1,Atlanta,2007,Walmart Supercenter,6149 Old National Hwy,College Park,GA,30349,US,33.61896133,-84.47308349
3609,1,Atlanta,2008,Walmart Supercenter,2940 Anvil Block Rd,Ellenwood,GA,30294,US,33.63598199,-84.29315099
3621,1,Atlanta,2007,Walmart Supercenter,1871 Chamblee Tucker Rd,Chamblee,GA,30341,US,33.889442,-84.310524
3709,1,Atlanta,2006,Walmart Supercenter,2427 Gresham Rd Se,Atlanta,GA,30316,US,33.71882599,-84.31214099
3710,1,Atlanta,2008,Walmart Supercenter,3580 Memorial Dr,Decatur,GA,30032,US,33.75706863,-84.26792144
3741,2,Atlanta,2013,Walmart,1105 Research Center Atlanta D,Atlanta,GA,30331,US,33.70396041,-84.54736328
3775,1,Atlanta,2006,Walmart Supercenter,1801 Howell Mill Rd Nw,Atlanta,GA,30318,US,33.803279,-84.411933
4143,4,Atlanta,2013,Walmart Neighborhood Market,6152 Covington Hwy,Lithonia,GA,30058,US,33.72286207,-84.16613571
4401,2,Atlanta,?,Walmart,6055 South Fulton Parkway,Atlanta,GA,30349,US,33.61745071,-84.59734344
5010,42,Atlanta,2012,Walmart Express,1030 Delta Blvd,Atlanta,GA,30354,US,33.65632653,-84.423149
5252,1,Atlanta,2004,Walmart Supercenter,4221 Atlanta Hwy,Loganville,GA,30052,US,33.84265099,-83.91243699
5390,1,Atlanta,2005,Walmart Supercenter,210 Cobb Pkwy S,Marietta,GA,30060,US,33.94617,-84.52131599
5812,2,Atlanta,2014,Walmart,97 Commerce Drive,Blue Ridge,GA,30513,US,34.87216517,-83.9427828
5814,2,Atlanta,2014,Walmart,2200 Holly Springs Parkway,Holly Springs,GA,30115,US,34.18153524,-84.50394988
