Store Number,Store Type,Display Name,Address,City,State,Zip Code,Country,Phone Number,Store Hours,Pharmacy Phone Number,Pharmacy Hours,Services,Vision Phone Number,Photo Phone Number,Tire Phone Number,Latitude,Longitude
1,1,Walmart Supercenter,2110 W Walnut St,Rogers,AR,72756,US,(479) 636-3222,Mon - Sun:12:00 a.m.-12:00 a.m.,(479) 636-8238,Mon - Fri:8:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Gas_Station | Tire_And_Lube | Coinstar | Arvest_Bank | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(479) 636-2462,(479) 636-2977,(479) 636-0035,36.332031,-94.14904699
2,1,Walmart Supercenter,161 N. Walmart Drive,Harrison,AR,72601,US,(870) 365-8400,Mon - Sun:12:00 a.m.-12:00 a.m.,(870) 741-2327,Mon - Fri:8:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Open_24_Hours | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Arvest_Bank | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(870) 365-8418,(870) 365-8414,(870) 365-8411,36.26664228,-93.13862174
3,1,Walmart Supercenter,30983 Highway 441 S,Commerce,GA,30529,US,(706) 335-7563,Mon - Sun:12:00 a.m.-12:00 a.m.,(706) 335-7818,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Open_24_Hours | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Community_Bank_And_Trust | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today |,(706) 335-9689,(706) 423-9712,(706) 335-9546,34.24848653,-83.45983162
4,1,Walmart Supercenter,2901 Highway 412 E,Siloam Springs,AR,72761,US,(479) 524-5101,Mon - Sun:12:00 a.m.-12:00 a.m.,(479) 524-3156,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Center | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(479) 549-3940,(479) 524-3904,(479) 524-6500,36.183174,-94.512611
5,1,Walmart Supercenter,1155 Hwy 65 North,Conway,AR,72032,US,(501) 329-0023,Mon - Sun:12:00 a.m.-12:00 a.m.,(501) 329-1592,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Center | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(501) 329-0563,(501) 329-0524,(501) 329-0402,35.10851199,-92.437927
7,1,Walmart Supercenter,9053 Highway 107,Sherwood,AR,72120,US,(501) 833-0972,Mon - Sun:12:00 a.m.-12:00 a.m.,(501) 833-0701,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Open_24_Hours | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Clinicatwalmart | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,,(501) 833-0408,(501) 833-0257,34.83861499,-92.23609199
8,1,Walmart Supercenter,1621 North Business 9,Morrilton,AR,72110,US,(501) 354-0290,Mon - Sun:12:00 a.m.-12:00 a.m.,(501) 354-4135,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Open_24_Hours | L_E_I_Apparel | Gas_Station | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,,(501) 354-4184,(501) 354-3934,35.16892611,-92.72412322
9,1,Walmart Supercenter,1303 S Main St,Sikeston,MO,63801,US,(573) 472-3020,Mon - Sun:12:00 a.m.-12:00 a.m.,(573) 471-6775,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Spirits | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Center | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(573) 472-3655,(573) 472-3640,(573) 472-3370,36.8586561,-89.5833832
10,1,Walmart Supercenter,2020 S Muskogee Ave,Tahlequah,OK,74464,US,(918) 456-8804,Mon - Sun:12:00 a.m.-12:00 a.m.,(918) 456-2437,Mon - Fri:9:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Tire_And_Lube | Coinstar | Bancfirst | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | Money_Center | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Immunizations | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,,(918) 453-9480,(918) 453-9461,35.8882986,-94.97701048
11,1,Walmart Supercenter,65 Wal Mart Dr,Mountain Home,AR,72653,US,(870) 492-9299,Mon - Sun:12:00 a.m.-12:00 a.m.,(870) 492-7733,Mon - Fri:8:00 a.m.-9:00 p.m. Sat:9:00 a.m.-7:00 p.m. Sun:10:00 a.m.-6:00 p.m.,Beer | Wine | Open_24_Hours | Portrait_Studio | L_E_I_Apparel | Connection_Center | Gas_Station | Tire_And_Lube | Bill_Payment | Bluebird_By_American_Express | Check_Cashing | First_Security_Bank | Money_Order | Money_Transfer | Walmart_Moneycard | Garden_Center | Grocery | Deli | Bakery | Pharmacy | Vision_Center | Clinicatwalmart | Photo_Center_One_Hour | Photo_Center | Photo_Center_Same_Day_Pickup | Pay_In_Person | Site_2_Store | Pick_Up_Today | Jackson_Hewitt |,(870) 492-9295,(870) 492-9296,(870) 492-9297,36.357195,-92.34124056
