title,link,date,description
New Morristown Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/11/new-morristown-walmart-opens-for-shoppers,"March 11, 2015","
            New store located at 4331 W. Andrew Johnson HighwayMorristown Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart6370…"
New Hazel Green Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/11/new-hazel-green-walmart-opens-for-shoppers,"March 11, 2015","
            New store located at 14595 N. Highway 231/241Hazel Green Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart6878 HAZEL…"
Relocated Booneville Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/11/relocated-booneville-walmart-opens-for-shoppers,"March 11, 2015","
            Relocated store located at 1400 E. Main St.Booneville Walmart creates approximately 200 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart0055…"
New Murfreesboro Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/11/new-murfreesboro-walmart-opens-for-shoppers,"March 11, 2015","
            New store located at 140 Joe B. Jackson ParkwayMurfreesboro Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart0416…"
New Spanish Fork Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/09/new-spanish-fork-walmart-opens-for-shoppers,"March 09, 2015","
            New store located at 1206 N. Canyon Creek Pkwy.Spanish Fork Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart4068…"
Grand opening scheduled for new Walmart Supercenter at Chandler Fashion Center,http://news.walmart.com/news-archive/2015/03/09/grand-opening-scheduled-for-new-walmart-supercenter-at-chandler-fashion-center,"March 09, 2015","
            New store located at 3460 W. Chandler Blvd., at Chandler Fashion CenterCreates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart6480…"
New Berlin Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/05/new-berlin-walmart-opens-for-shoppers,"March 05, 2015","
            New store located at 15205 W. Greenfield Ave.New Berlin Walmart creates approximately 85 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart5438 NEW…"
New Donna Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/04/new-donna-walmart-opens-for-shoppers,"March 04, 2015","
            New store located at 900 N. Salinas Blvd.Donna Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart2763 DONNA, Texas,…"
"Walmart Brings Convenience, Affordable Grocery Options and New Jobs to Chicago",http://news.walmart.com/news-archive/2015/03/04/walmart-brings-convenience-affordable-grocery-options-and-new-jobs-to-chicago,"March 04, 2015","
            New Walmart Neighborhood Market located 7535 S. Ashland Ave.Up to 95 jobs created by Chicago Walmart Neighborhood MarketStore open 7 a.m. to 10 p.m., seven days a weekLocal Facebook page:…"
"Walmart Brings Convenience, Affordable Grocery Options and New Jobs to Norman",http://news.walmart.com/news-archive/2015/03/04/walmart-brings-convenience-affordable-grocery-options-and-new-jobs-to-norman,"March 04, 2015","
            New Walmart Neighborhood Market located 2551 Classen Blvd.Up to 95 jobs created by Norman Walmart Neighborhood MarketStore open 24 hours a day, seven days a weekLocal Facebook page:…"
"Walmart Brings Convenience, Affordable Grocery Options and New Jobs to Kemp",http://news.walmart.com/news-archive/2015/03/04/walmart-brings-convenience-affordable-grocery-options-and-new-jobs-to-kemp,"March 04, 2015","
            New Walmart Neighborhood Market located 221 S. State Highway 274Approximately 30 jobs created by Kemp Walmart Neighborhood MarketStore open 7 a.m. to 10 p.m., Monday through Saturday; 8 a.m. to 9…"
"Walmart Brings Convenience, Affordable Grocery Options and New Jobs to Katy",http://news.walmart.com/news-archive/2015/03/04/walmart-brings-convenience-affordable-grocery-options-and-new-jobs-to-katy,"March 04, 2015","
            New Walmart Neighborhood Market located 24919 Westheimer ParkwayUp to 95 jobs created by Katy Walmart Neighborhood MarketStore open 24 hours a day, seven days a weekLocal Facebook page:…"
Expanded North Conway Walmart Re-Opens to Shoppers,http://news.walmart.com/news-archive/2015/03/04/expanded-north-conway-walmart-re-opens-to-shoppers,"March 04, 2015","
            Expanded store located at 46 N. South RoadManchester Walmart expansion creates approximately 80 additional jobsStore open 6 a.m. to 10 p.m., seven days a weekLocal Facebook page:…"
"Walmart Brings Convenience, Affordable Grocery Options and New Jobs to Ft. Worth",http://news.walmart.com/news-archive/2015/03/03/walmart-brings-convenience-affordable-grocery-options-and-new-jobs-to-ft-worth,"March 03, 2015","
            New Walmart Neighborhood Market located at North Beach St. and Heritage Trace ParkwayUp to 95 jobs created by Ft. Worth Walmart Neighborhood MarketStore open 24 hours a day, seven days a weekLocal…"
New Los Fresnos Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/03/new-los-fresnos-walmart-opens-for-shoppers,"March 03, 2015","
            New store located at the corner of Evergreen and Highway 100Los Fresnos Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page:…"
"Walmart Brings Convenience, Affordable Grocery Options and New Jobs to North Chesterfield",http://news.walmart.com/news-archive/2015/03/01/walmart-brings-convenience-affordable-grocery-options-and-new-jobs-to-north-chesterfield,"March 01, 2015","
            New Walmart Neighborhood Market located at 5700 Hopkins RoadUp to 95 jobs created by North Chesterfield Walmart Neighborhood MarketStore open 24 hours a day, seven days a weekLocal Facebook page:…"
"Walmart Brings Convenience, Affordable Grocery Options and New Jobs to Corona",http://news.walmart.com/news-archive/2015/02/25/walmart-brings-convenience-affordable-grocery-options-and-new-jobs-to-corona,"February 25, 2015","
            New Walmart Neighborhood Market located at 6th St. and SmithUp to 65 jobs created by Corona Walmart Neighborhood MarketStore open 6 a.m. to midnight, seven days a weekLocal Facebook page:…"
